Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID
March Poplar Campaign,poplarmarch22,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,4/30/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6653280
SLM April Manhattan,manhattan36,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,5/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6686995
SLM April Boston,boston26,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,5/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6686999
SLM April Chicago,chicago26,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,5/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687000
SLM April Foodies,drinkwinc30,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,5/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687003
