Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,
[Non-Member] Valentines Day ,LOVEDRUNK23,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$24.95,$24.95,$39.00,2/6/2023,2/16/2023,Get Love Drunk! Use promo code LOVEDRUNK23 at checkout.,6951638,LS
[Member] Valentines Day 12-pack ,LOVEDRUNK15,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,2/6/2023,2/16/2023,Save 15% on our ‘Love Drunk’ 12-pack with code LOVEDRUNK15. ,6951641,LS
