Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,End Date,Violator Copy,CAID
Default 4 for $29.95 (March - May),default,Winc,Non-Gifting,Organic,NA,Dynamic Discount,100000,29.95,29.95,30,3/1/2022,5/23/2022,New Member Special! Get 4 Bottles for $29.95,6654349
Default 4 for $24.95 - Memorial Day,defaultmd,Winc,Non-Gifting,Organic,NA,Dynamic Discount,100000,24.95,24.95,35,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95,6654354
Default 4 for $29.95 (June - Aug),default1,Winc,Non-Gifting,Organic,NA,Dynamic Discount,100000,29.95,29.95,30,5/31/2022,8/29/2022,New Member Special! Get 4 Bottles for $29.95,6654419
Default 4 for $24.95 - Labor Day,defaultld,Winc,Non-Gifting,Organic,NA,Dynamic Discount,100000,24.95,24.95,35,8/30/2022,9/5/2022,Labor Day Special! Get 4 Bottles for $24.95,6654363
Default 4 for $29.95 (Sept - Nov),default2,Winc,Non-Gifting,Organic,NA,Dynamic Discount,100000,29.95,29.95,30,9/6/2022,11/12/2022,New Member Special! Get 4 Bottles for $29.95,6654425
