Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Platform,Channel,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Link,Long Link,UTM Source,UTM Medium
Growth Partner: Just Fab VIP Perks,wincxjustfab,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,6/1/2022,8/31/2022,Get 4 bottles for just $24.95! Discount applied at checkout.,6759797,drink.winc.com/new-member-special/evergreenlp25,drink.winc.com/new-member-special/evergreenlp25?caid=6759797&utm_source=GrowthPartner&utm_medium=JustFab,&utm_source=GrowthPartner,&utm_medium=JustFab
Influencer: Internal: Jen Reed,jenreed,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,07/26/2022,12/30/2022,Get 4 bottles for just $24.95! Discount applied at checkout.,5926680,drink.winc.com/new-member-special/jen-reed,drink.winc.com/new-member-special/jen-reed?caid=5926680&utm_source=Influencers&utm_medium=JenReed,&utm_source=Influencers,&utm_medium=JenReed
