Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,End Date,Violator Copy,CAID,
[Non-member] Default 4 for $29.95 ,default3,Winc,Non-Gifting,Organic,N/A,Dynamic Discount,100000,29.95,29.95,34,01/14/2023,03/31/2023,New Member Special! Get 4 Bottles for $29.95,6913309,
[Non-Member] Valentines Day ,23LOVEDRUNK,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$24.95,$24.95,$39.00,2/6/2023,2/16/2023,Get Love Drunk! Use promo code 23DRUNKLOVE at checkout.,6951637,LS
