Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,
Non-Member] Winter Blow Out,WINCWINTER,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$24.95,4 for $6.25,$39.00,12/12/2022,12/17/2022,Winc Winter Blowout! Use promo code WINCWINTER at checkout.,6908778,LS
[Non-Member] Out of the Office Special ,WINCOOO,Winc,Non-Gifting,Email,,Dynamic Discount,10000,$24.95,4 for $6.25,$39.00,12/26/2022,12/31/2022,Winc Winter Blowout! Use promo code WINCOOO at checkout.,6908787,LS
