Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,
[Members] Spring Fling 12- Pack ,SPRINGFLING23,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,4/10/2023,4/22/2023,Take 15% off 12 Bottles. Use code SPRINGFLING23 at checkout.,6959204,KP
[Member] St. Pattys Day B,IRISHLUCK,Winc,Non-Gifting,Email,,Percentage Off,10000,,10%,,3/20/2023,3/20/2023,Feeling lucky? Get 10% off 6+ bottles! // Today Only for St. Patty’s Day. Use code IRISHLUCK at checkout,6959362,KP
[Member] St. Pattys Day B,LUCKYIRISH,Winc,Non-Gifting,Email,,Percentage Off,10000,,10%,,3/20/2023,3/20/2023,Feeling lucky? Get 10% off 6+ bottles! // Today Only for St. Patty’s Day. Use code LUCKYIRISH at checkout,6959977,LS
(Member + Non-Member) Mother's Day Gifting,WE<3MOM,Winc,Non-Gifting,Email,,Percentage Off,10000,,10% OFF of $100+,,5/3/2023,5/16/2023,"10% off $100+ Winc Gift Cards // Because Moms Deserve a Good Pour
",6960934,KP
Mother's Day Gifting (SMS),<3MOM,Winc,Non-Gifting,SMS,,Percentage Off,10000,,10% OFF of $100+,,5/3/2023,5/16/2023,Mother's Day is coming! Treat Mom with wine 🍷 Give the gift of Winc Gift Cards with 10% off $100+ with code <3MOM. She's sure to love it! ❤️🍷,6960936,KP
St. Pattys Day Extension ,leprechaunluck,Winc,Non-Gifting,Email,,Percentage Off,500,,10%,,3/17/2023,3/24/2023,,6961575,LS
