Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID
[Leads] July 4th Email Campaign,HBDAMERICA,Winc,Non-Gifting,Email,NA,Dynamic Discount,10000,$24.95,$24.95,$39.00,6/22/2022,7/8/2022,Get 4 bottles for $24.95. Use promo code HBDAMERICA at checkout.,6770249
[Cancelled] July 4th Reactivation,AMERICAHBD,Winc,Non-Gifting,Email,NA,Dynamic Discount,10000,$29.95,$29.95,$34.00,6/22/2022,7/8/2022,Get 4 bottles for $29.95. Use promo code AMERICAHBD at checkout.,6771431
