Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID
PaidSocial_July2022_Placeholder 1,10764FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,7/7/2022,Fourth of July Special! Get 4 Bottles for $24.95!,6782784
PaidSocial_July2022_Placeholder 2,10765FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,7/7/2022,Fourth of July Special! Get 4 Bottles for $24.95!,6782785
PaidSocial_July2022_Placeholder 3,10766FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,7/7/2022,Fourth of July Special! Get 4 Bottles for $24.95!,6782786
PaidSearch_July2022_Placeholder 1,62641GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,7/7/2022,Fourth of July Special! Get 4 Bottles for $24.95!,6782790
PaidSearch_July2022_Placeholder 2,62642GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,7/7/2022,Fourth of July Special! Get 4 Bottles for $24.95!,6782792
Prime Day 2022 [Leads],PRIME2022,Winc,Non-Gifting,Email,N/A,Dynamic Discount,10000,24.95,24.95,39,7/12/2022,7/14/2022,Get 4 bottles for $24.95. Use promo code PRIME2022 at checkout.,6782781
