Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,
Affiliate Early Black Friday Special 2022,EarlyBF22,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 Bottles for $24.95 + Shipping's on us,6913281,LS
Affiliate Black Friday 2022,IRBF22,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,22.95,22.95,41,11/24/2022,11/26/2022,Black Friday Special! Get 4 Bottles for $22.95 + Shipping's on us,6913286,LS
Affiliate Cyber Monday 2022,IRCM22,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,22.95,22.95,41,11/27/2022,12/3/2022,Cyber Monday Special! Get 4 Bottles for $22.95 + Shipping's on us,6913287,LS
Affiliate Winter Blow-Out 2022,IRHOLIDAY,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,24.96,24.96,39,12/12/2022,12/17/2022,Winter Blow-Out! Get 4 Bottles for $6.25 Each + Shipping's on us,6913292,LS
Affiliate Out of Office Special 2022,IROOO,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,24.95,24.95,39,12/26/2022,12/31/2022,OOO Special! Get 4 Bottles for $24.95 + Shipping's on us,6913293,LS
Affiliate New Year's Day Special 2022,IRNY22,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,20.23,20.23,44,1/1/2022,1/2/2023,New Year's Day Special! Get 4 Bottles for $20.23 + Shipping's on us,6913296,LS
"Affiliate New Year, New Me - No Sugar 2022",IRNYLS,Winc,Non-Gifting,Affiliates,N/a,Dynamic Discount,100000,28.95,28.95,34,1/2/2023,1/14/2023,"New Year, New Me - No Sugar! Get 4 Low Sugar Wines for $28.95 + Shipping's on us",6913298,LS
